name	criterion	diff_prop	variability	origin	flag
Stap1	0.899307193405472	-0.159209220973365	0.0313415376824497	P	NO_FLAG
Zfp954	0.899009766443128	0.102388616659535	0.0129710320180919	M	NO_FLAG
Mir6955	0.897693282440807	0.154531934726889	0.0296333351794257	M	NO_FLAG
Pon3	0.895739462182878	0.197044218003329	0.0483909308034387	M	NO_FLAG
Gm26811	0.892804103280861	0.13394483828558	0.0225081400782105	M	NO_FLAG
Acrbp	0.889870415473678	-0.120291696066228	0.0182733326232702	P	NO_FLAG
Gm43852	0.885744418473461	0.134193165680832	0.0229532373648246	M	NO_FLAG
Nlrc5	0.882340838992183	0.11618566451378	0.0173393307383149	M	NO_FLAG
Slc15a3	0.877084715448664	-0.144300075741081	0.0270676176077702	P	NO_FLAG
Gm43488	0.868515040875984	-0.128466478144758	0.0218788730687548	P	NO_FLAG
Gm11732	0.86730356128446	0.122339675630278	0.0198972194559119	M	NO_FLAG
Edar	0.858511254853338	0.109065125854562	0.0161391189938696	M	NO_FLAG
Yy1	0.858408531831609	-0.084116084007047	0.00960218438387332	P	NO_FLAG
Bet1	0.855891007883235	0.0736384071391549	0.00740238798553741	M	NO_FLAG
Nudt22	0.855619527223111	0.0935127651789875	0.0119448423812046	M	NO_FLAG
6030407O03Rik	0.852925793994206	-0.159063945738291	0.0347793135393126	P	NO_FLAG
Gm28902	0.850620869626089	0.100667608107438	0.0140057842503579	M	NO_FLAG
Tmem232	0.849939055980766	0.128176884782735	0.0227427958085684	M	NO_FLAG
Gm10134	0.844753619814896	-0.155950247594515	0.0340809752853125	P	NO_FLAG
Slc25a35	0.842392126670655	0.0992117461570662	0.0138706747636581	M	NO_FLAG
Vegfc	0.839320382507408	-0.131072231819337	0.0243874195102487	P	NO_FLAG
Aqp9	0.823954161358417	0.129463509349381	0.0246881556871637	M	NO_FLAG
Aarsd1	0.816370708722063	0.100001431946972	0.0150050556294768	M	NO_FLAG
A330009N23Rik	0.813711369269205	-0.137324091240752	0.0284808337886828	P	NO_FLAG
Gm42656	0.81155518681751	0.143040763046079	0.0310658700222832	M	NO_FLAG
Bcl11a	0.806123047490396	0.115632808253849	0.0205759298205398	M	NO_FLAG
Gm26555	0.803644555017536	-0.132709956412744	0.0272696145900898	P	NO_FLAG
Trim7	0.802051806047494	-0.148569182768606	0.034312520930085	P	NO_FLAG
Fsd2	0.801087212523569	-0.122788319199618	0.0234938672479183	P	NO_FLAG
Ntng2	0.798142759326812	-0.0922193528225075	0.0133500528184779	P	NO_FLAG
Nfam1	0.788286931504604	0.100741835914634	0.0163324399033008	M	NO_FLAG
Eif3j1	0.777065550688301	-0.104653553598544	0.0181381357326049	P	NO_FLAG
Fgf11	0.776484050918067	0.102596408575121	0.0174581908744507	M	NO_FLAG
Smim27	0.775875631709992	0.12428360649759	0.0256592211901804	M	NO_FLAG
9430038I01Rik	0.772436522219632	-0.0903138704672592	0.0136704657045634	P	NO_FLAG
L3mbtl1	0.76553688315272	-0.118438303165975	0.023936029655774	P	NO_FLAG
Phf7	0.764711510485312	0.123657650744879	0.0261484968503855	M	NO_FLAG
Prr3	0.763703097693255	-0.136104886928462	0.031761304674151	P	NO_FLAG
Slc15a2	0.761148772933843	-0.11205694316203	0.0216739685528033	P	NO_FLAG
Alg3	0.747715517253587	0.11138037380943	0.022189348698983	M	NO_FLAG
